symbol_name;mass_q1;mass_q2;mass_q3;mass_q4;rel_mass_q1;rel_mass_q2;rel_mass_q3;rel_mass_q4;center_x;center_y;norm_center_x;norm_center_y;I_x;I_y;norm_I_x;norm_I_y
armenian_1334;32;34;122;164;0.0032;0.0034;0.0122;0.0164;100.24147727272727;112.1903409090909;0.5012073863636364;0.5609517045454545;47964.24715909091;34036.47443181818;0.003406551644821798;0.002417363240896177
armenian_1377;2;3;164;179;0.0002;0.0003;0.0164;0.0179;99.93586005830903;123.865889212828;0.49967930029154517;0.61932944606414;17793.83090379009;42724.588921282804;0.0012969264507135634;0.0031140370933879593
armenian_1378;1;4;170;107;0.0001;0.0004;0.017;0.0107;97.84837545126354;121.15884476534296;0.4892418772563177;0.6057942238267148;27389.01083032491;12273.631768953068;0.0024719323854083854;0.0011077284990029844
armenian_1379;3;2;116;202;0.0003;0.0002;0.0116;0.0202;100.83962264150944;122.17924528301887;0.5041981132075471;0.6108962264150943;27784.78301886792;16268.82075471698;0.002184338287646849;0.0012789953423519638
armenian_1380;5;1;118;191;0.0005;0.0001;0.0118;0.0191;100.48867313915858;121.76699029126213;0.5024433656957928;0.6088349514563106;28887.223300970865;16021.210355987054;0.002337153988751688;0.00129621443009604
armenian_1381;39;2;160;97;0.0039;0.0002;0.016;0.0097;96.89864864864865;113.02027027027027;0.4844932432432432;0.5651013513513514;30953.87837837838;12950.95945945946;0.0026143478360116873;0.0010938310354273193
armenian_1383;41;3;124;55;0.0041;0.0003;0.0124;0.0055;96.37727272727273;111.28181818181818;0.4818863636363636;0.5564090909090909;30006.52727272727;5475.686363636363;0.003409832644628099;0.0006222370867768594
armenian_1384;4;5;162;138;0.0004;0.0005;0.0162;0.0138;98.85666666666667;122.52;0.49428333333333335;0.6126;33910.880000000005;13718.836666666666;0.002825906666666667;0.001143236388888889
armenian_1385;1;2;211;155;0.0001;0.0002;0.0211;0.0155;97.77595628415301;120.39344262295081;0.48887978142076505;0.6019672131147541;30379.34426229508;30561.628415300547;0.002075091821195019;0.002087542924542387
armenian_1386;1;35;115;131;0.0001;0.0035;0.0115;0.0131;99.5017793594306;112.2846975088968;0.497508896797153;0.561423487544484;25521.224199288255;14420.249110320285;0.0022705715479793822;0.001282940312306075
armenian_1387;69;1;188;115;0.0069;0.0001;0.0188;0.0115;96.28763440860214;110.47849462365592;0.4814381720430107;0.5523924731182795;55660.82795698925;15912.223118279571;0.003740647040120245;0.001069369833217713
armenian_1388;2;1;107;41;0.0002;0.0001;0.0107;0.0041;98.5945945945946;123.72297297297297;0.492972972972973;0.6186148648648648;16285.641891891893;417.6756756756756;0.0027509530222790362;7.055332359386412e-05
